Model,BestAvgResponse
X-1199,20.55000000000001
X-1289,-77.078125
X-1317,9.0
X-1362,38.52000000000001
X-1948,10.625
X-1959,9.599999999999994
X-2026,-71.512
X-2043,25.75999999999999
X-2081,40.84
X-2283,48.90000000000001
X-2339,21.75
X-2428,40.72
X-2564,13.150000000000004
X-2633,-37.76428571428572
X-3052,66.18
X-3268,33.420000000000016
X-3782,35.54000000000002
X-3800,-0.7642857142857196
X-3816,18.52000000000001
X-3846,28.074999999999992
X-3898,14.52000000000001
X-3947,-9.608333333333334
X-3990,-54.969230769230776
X-4015,-26.17307692307692
X-4018,18.5
X-4145,-27.64615384615385
X-4215,-33.69411764705882
X-4226,30.78
X-4316,-41.07727272727273
X-4377,11.011111111111118
X-4378,-11.08387096774193
X-4649,-5.700000000000002
X-4676,-37.00689655172414
X-4927,-39.13333333333335
X-5205,-76.68709677419355
